month,gross1,gross5,debt1,debt5,net1,net5,ltv1,ltv5
89,3763.125617803777,2609.6156485779943,503.6917076406509,580.0920300249137,3259.4339101631263,2029.5236185530807,0.1338492941233819,0.22229021746593666
90,3722.6765900908877,2570.611996378493,504.93394727376506,581.5226934637184,3217.7426428171225,1989.0893029147746,0.13563733917091017,0.2262195517188024
91,3713.8891051653054,2572.142533287757,506.1792506049363,582.9568853045166,3207.709854560369,1989.1856479832404,0.13629358235304828,0.22664252768269846
92,3721.8853130102907,2588.5644763722166,507.4276251900706,584.3946142492995,3214.45768782022,2004.169862122917,0.13633617978939255,0.225760115146256
93,3641.4459348276696,2567.6516752285,508.6790786037087,585.8358890215196,3132.766856223961,1981.8157862069806,0.1396915092816782,0.22816018803227467
94,3650.536338573964,2614.830798323518,509.93361843907235,587.280718366144,3140.6027201348916,2027.5500799573742,0.13968731472435406,0.22459606898567788
95,3570.3658344202054,2548.943608188493,511.19125230811005,588.7291110497073,3059.1745821120953,1960.2144971387856,0.14317615505390438,0.23096984537375106
96,3601.847223240541,2503.133332652722,512.4519878415437,590.1810758603644,3089.3952353989976,1912.9522567923575,0.14227477071625944,0.23577692333109312
97,3660.656250409624,2513.0108116314204,569.8038204826745,652.5081827636742,3090.8524299269498,1860.5026288677464,0.15565619427361255,0.25965196000890767
98,3567.3318863169616,2447.041807075536,571.2091104212741,654.1174439710051,2996.1227758956875,1792.9243631045308,0.16012222260906886,0.2673094681421655
99,3560.3005783877707,2420.224373550117,572.6178661839706,655.7306740506073,2987.6827122038003,1764.4936994995096,0.16083413565134214,0.2709379680730782
100,3478.8200663398698,2337.715675093223,574.0300963184211,657.3478827907905,2904.7899700214484,1680.3677923024325,0.16500712464912526,0.28119240068173684
101,3519.8419475439478,2313.126012358248,575.4458093933638,658.9690800040053,2944.396138150584,1654.1569323542426,0.16348626386332335,0.28488248218357193
102,3692.9336383095915,2463.636126776844,576.8650139986695,660.5942755269019,3116.068624310922,1803.0418512499418,0.15620779317949632,0.2681379235947284
103,3605.254156397336,2475.1587485976543,578.2877187453939,662.2234792203908,3026.966437651942,1812.9352693772635,0.16040137356731216,0.2675478813613815
104,3714.436007561358,2518.766438492849,579.7139322658302,663.8567009697018,3134.722075295528,1854.9097375231472,0.1560705127469487,0.2635642157305117
105,3719.247235995117,2490.1184707611646,581.1436632135607,665.4939506844446,3138.1035727815565,1824.62452007672,0.15625303356797968,0.2672539312882653
106,3851.4452828737635,2551.4614309976737,582.5769202635101,667.1352382986686,3268.8683626102534,1884.326192699005,0.15126189715171526,0.26147180991789676
107,3866.207217721555,2541.3183595077285,584.0137121119978,668.7805737709232,3282.193505609557,1872.5377857368053,0.15105597791940664,0.26316284666533113
108,3882.093506886775,2531.9777767462174,585.4540474767905,670.4299670843184,3296.6394594099843,1861.547809661899,0.1508088474525933,0.2647850914180896
